#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
  21	  1.38022917866	 -9.61779490682	2428706669045383808	HD     63                       	HIP 462   	 7.02	  7.13	  6.01	 0.450	 0.604	20.17	F6V            	 1.229	5p	 36	9	 0.228	 1.363	 0.164	 0.064	 0.077	 0.166	 1.90e-04	   3.7	10.9	 2.25	 45.36	                 	0	0
  22	128.96299993747	 +6.62215565364	 594989417312890368	HD  72946                       	HIP 42173 	 7.02	      	  5.50	      	 0.873	38.98	G8-V           	 0.874	5p	 49	9	 0.256	 1.887	 0.151	 0.065	 0.077	 0.261	 0.00e+00	9999.0	 7.0	 2.01	 78.27	WDS J08358+0637B 	1	0
  23	 33.22952038999	+40.66793244113	 333106054183616000	V* V450 And                     	HIP 10321 	 7.03	  7.21	  5.57	 0.670	 0.844	37.89	G5V            	 0.911	5p	 20	9	 0.443	 3.023	 0.152	 0.065	 0.069	 0.437	 0.00e+00	9999.0	12.5	 2.04	 77.14	                 	0	0
  24	 91.19381858578	-48.45839929666	5554191685020871424	HD  41824A                      	          	 7.04	  7.22	      	 0.710	 0.975	32.61	G2VHdel-1      	 0.911	5p	 33	9	 0.315	 2.015	 0.151	 0.065	 0.077	 0.287	 0.00e+00	9999.0	 9.5	 2.04	 66.39	WDS J06048-4828A 	0	0
  25	178.75720330878	-56.09686881090	5343737016229657856	HD 103493A                      	          	 7.07	  7.29	  5.23	 0.602	 0.813	31.79	G0V            	 0.918	5p	 51	9	 0.312	 1.869	 0.153	 0.067	 0.076	 0.260	 0.00e+00	9999.0	 8.9	 2.04	 64.89	WDS J11550-5606A 	0	0
  26	129.93330250800	 +5.76293933556	 594641009565720192	HD  73668                       	HIP 42488 	 7.11	      	  5.79	      	 0.760	28.23	G1V            	 0.998	5p	 67	9	 0.215	 1.415	 0.155	 0.068	 0.077	 0.166	 0.00e+00	   5.3	 6.8	 2.10	 59.24	WDS J08397+0546A 	1	0
  27	 70.40451819316	+42.11660697215	 204358907633155840	HD  29587                       	HIP 21832 	 7.11	  7.28	  5.65	 0.610	 0.820	36.65	G2V            	 0.936	5p	 46	9	 0.269	 1.823	 0.153	 0.068	 0.072	 0.241	 0.00e+00	   7.9	 7.2	 2.05	 75.28	                 	0	0
  28	210.58496256590	+36.11146931804	1483443912623118848	HD 122637                       	HIP 68576 	 7.11	  7.23	  6.01	 0.460	 0.633	12.17	F5             	 1.507	5p	103	9	 0.178	 1.184	 0.161	 0.067	 0.076	 0.107	 2.20e-03	   3.1	13.3	 2.41	 29.31	                 	0	0
  29	 57.00186971669	+40.53073384376	 224870885460646016	HD  23596                       	HIP 17747 	 7.12	  7.24	  5.87	 0.610	 0.745	19.32	F8             	 1.098	5p	 42	9	 0.211	 1.345	 0.156	 0.068	 0.072	 0.142	 7.10e-04	   3.4	 9.0	 2.17	 41.87	WDS J03480+4032A 	0	1
  30	113.90519709310	-75.54427184871	5214209564293214208	HD  62364                       	HIP 36941 	 7.20	  7.31	  6.00	 0.530	 0.689	18.88	F7V            	 1.197	5p	 35	9	 0.237	 1.461	 0.158	 0.070	 0.080	 0.193	 0.00e+00	   4.8	13.2	 2.23	 42.10	                 	0	2
  31	167.93090219538	+58.89994258063	 857735587834080640	HD  97140                       	HIP 54687 	 7.22	  7.36	  5.93	 0.626	 0.767	12.99	G0             	 1.315	5p	 54	9	 0.181	 1.218	 0.155	 0.072	 0.076	 0.116	 5.10e-03	   2.8	12.4	 2.30	 29.88	                 	0	0
  32	221.56818694637	 +3.50380407060	1157737335472646016	HD 130125                       	HIP 72223 	 7.26	  7.38	  6.07	 0.560	 0.710	24.50	F7/8V          	 1.071	5p	 20	9	 0.185	 1.486	 0.157	 0.073	 0.072	 0.185	 3.00e-04	   3.6	 9.1	 2.15	 52.64	                 	0	0
  33	175.15236461706	 -8.40571696409	3591819100253606784	HD 101472                       	HIP 56960 	 7.30	  7.40	  6.14	 0.530	 0.688	23.16	F7V            	 1.083	5p	 34	9	 0.258	 1.569	 0.158	 0.074	 0.077	 0.211	 0.00e+00	   5.4	11.0	 2.16	 49.95	                 	3	0
  34	 10.10228174527	 -7.65707848272	2523208078545561088	HD   3770                       	HIP 3169  	 7.30	  7.43	  6.05	 0.560	 0.722	15.25	F8V            	 1.184	5p	 45	9	 0.196	 1.252	 0.157	 0.075	 0.079	 0.136	 1.20e-03	   3.2	11.5	 2.22	 33.88	                 	0	0
  35	 20.68059441798	+10.36914766079	2579398139245536768	HD   8331                       	HIP 6442  	 7.31	  7.48	  5.85	 0.670	 0.842	17.40	G5             	 1.091	5p	 39	9	 0.281	 1.502	 0.152	 0.075	 0.076	 0.192	 0.00e+00	   5.3	13.4	 2.16	 37.62	                 	0	0
  36	152.38135405900	-32.84649815290	5459288266585131776	HD  88201                       	HIP 49767 	 7.32	  7.44	  6.12	 0.560	 0.711	23.05	G0V            	 1.065	5p	 58	9	 0.235	 1.521	 0.157	 0.075	 0.071	 0.183	 0.00e+00	   5.7	 9.5	 2.14	 49.43	                 	1	0
  37	 99.65256026092	+40.33560241040	 957207580165891072	HD  47047                       	          	 7.33	      	  5.61	      	 0.986	15.50	K0             	 1.260	5p	 20	9	 0.183	 1.305	 0.151	 0.077	 0.073	 0.148	 4.90e-03	   2.8	12.8	 2.27	 35.15	WDS J06386+4020A 	0	0
  38	 71.40766656952	-50.07570422724	4784805056230587392	HD  30501                       	HIP 22122 	 7.35	  7.59	  5.53	 0.886	 1.053	49.18	K2V            	 0.792	5p	 36	9	 0.261	 1.537	 0.151	 0.077	 0.078	 0.201	 0.00e+00	   5.6	 4.0	 1.94	 95.55	                 	0	0
  39	 42.03952436382	+27.06811175700	 114832620743735808	HD  17382                       	HIP 13081 	 7.38	      	  5.61	      	 1.004	43.57	K2             	 0.810	5p	 22	9	 0.385	 2.239	 0.151	 0.079	 0.072	 0.330	 0.00e+00	9999.0	 7.6	 1.96	 85.29	WDS J02482+2704A 	1	0
  40	165.62726212319	+55.02901070549	 855717880917133568	HD  95547                       	HIP 53974 	 7.40	  7.51	  6.31	 0.430	 0.613	12.75	F8Vw           	 1.389	5p	 54	9	 0.193	 1.226	 0.161	 0.078	 0.074	 0.120	 5.50e-03	   2.8	13.5	 2.34	 29.88	                 	0	0
  41	  9.48818667980	+47.40734704036	 390077936372822912	HD   3454                       	HIP 2981  	 7.41	  7.53	  6.22	 0.470	 0.663	22.12	F5             	 1.135	5p	 58	9	 0.208	 1.347	 0.158	 0.078	 0.073	 0.150	 3.00e-05	   4.2	 8.5	 2.19	 48.46	                 	0	0
  42	192.21596544172	-68.42465224768	5855730584310531200	HD 111232                       	HIP 62534 	 7.42	  7.61	  5.90	 0.680	 0.879	34.61	G8VFe-1.0      	 0.897	5p	 45	9	 0.209	 1.244	 0.152	 0.080	 0.081	 0.140	 3.60e-04	   3.6	 4.3	 2.03	 70.09	                 	1	2
  43	114.71492962772	 -5.46610898212	3056203899255907328	HD  61383                       	HIP 37233 	 7.42	  7.57	  5.97	 0.610	 0.808	18.82	G3V            	 1.019	5p	 43	9	 0.191	 1.246	 0.153	 0.080	 0.076	 0.130	 2.30e-03	   3.0	 8.0	 2.11	 39.77	                 	0	0
  44	 22.27260463591	+21.72235062196	 288781167053300480	V* EO Psc                       	HIP 6917  	 7.43	  7.70	  5.37	 0.985	 1.179	42.95	K2.5V          	 0.820	5p	 34	9	 0.555	 3.002	 0.150	 0.081	 0.074	 0.467	 0.00e+00	9999.0	11.0	 1.97	 84.41	WDS J01291+2143A 	0	0
  45	174.75267185617	 +6.05736995136	3909362834358280576	HD 101242                       	HIP 56832 	 7.45	      	  6.04	      	 0.822	28.91	G5             	 0.936	5p	 24	9	 0.162	 1.266	 0.153	 0.081	 0.076	 0.142	 5.10e-03	   2.8	 5.4	 2.05	 59.39	                 	0	0
